model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.mrate.0,model.hparams.mrate.1,model.hparams.mrate.2,model.hparams.mrate.3,model.hparams.mrate.4,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.SWAP,mutsum.NONE
1,1,0:05:44.586161,29,28,100,100,100,125,25,0.2785185185185185,1.5109096540553495,1.5092412392541203,1.5335518253525517,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,32,24,29,13
1,1,0:05:44.586161,30,29,100,100,100,125,25,0.28444444444444444,1.5282277714090322,1.526209616963492,1.5650384909351511,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,42,28,25,4
1,1,0:05:44.586161,31,30,100,100,100,125,25,0.2962962962962963,1.5323142735636857,1.5290950790483329,1.5650384909351511,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,37,24,28,10
1,1,0:05:44.586161,32,31,100,100,100,125,25,0.2962962962962963,1.546604280895034,1.5457585137712941,1.5763069959946963,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,31,34,28,7
1,1,0:05:44.586161,33,32,100,100,100,125,25,0.29777777777777775,1.5592110364295149,1.5541179563190983,1.587555614166276,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,27,29,37,6
1,1,0:05:44.586161,34,33,100,100,100,125,25,0.3066666666666666,1.5733134038086387,1.5683265317187431,1.610380961729304,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,37,34,23,5
1,1,0:05:44.586161,35,34,100,100,100,125,25,0.317037037037037,1.5756272397384419,1.572963089071628,1.610380961729304,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,34,35,23,7
1,1,0:05:44.586161,36,35,100,100,100,125,25,0.3155555555555555,1.5891709298210728,1.5856956530042474,1.6174516124041853,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,30,32,31,7
1,1,0:05:44.586161,37,36,100,100,100,125,25,0.3185185185185185,1.5962670960630458,1.5895065793410712,1.6366634518316268,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,37,31,27,3
1,1,0:05:44.586161,38,37,100,100,100,125,25,0.3214814814814815,1.5981514787875306,1.5924602336288451,1.6366634518316268,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,28,31,30,11
1,1,0:05:44.586161,39,38,100,100,100,125,25,0.3407407407407407,1.6034811074430593,1.6014248515357101,1.6366634518316268,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,25,36,30,9
1,1,0:05:44.586161,40,39,100,100,100,125,25,0.33925925925925926,1.6250374332851973,1.6214363846914668,1.6488725598174716,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,30,32,29,8
1,1,0:05:44.586161,41,40,100,100,100,125,25,0.3422222222222222,1.6256667809754162,1.6220454479452338,1.6488725598174716,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,31,20,37,12
1,1,0:05:44.586161,42,41,100,100,100,125,25,0.3481481481481481,1.6318665008204096,1.6311363292227883,1.6488725598174716,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,34,36,24,6
1,1,0:05:44.586161,43,42,100,100,100,125,25,0.35703703703703704,1.6530533150159257,1.651283868983635,1.6726801151446502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,37,23,28,11
1,1,0:05:44.586161,44,43,100,100,100,125,25,0.35851851851851846,1.6548308650012942,1.651826281522193,1.6726801151446502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,33,28,29,9
1,1,0:05:44.586161,45,44,100,100,100,125,25,0.35851851851851846,1.6550647938483911,1.651826281522193,1.6726801151446502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,27,41,26,5
1,1,0:05:44.586161,46,45,100,100,100,125,25,0.3644444444444444,1.6558240891824445,1.651900486277718,1.6726801151446502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,32,24,36,7
1,1,0:05:44.586161,47,46,100,100,100,125,25,0.3659259259259259,1.6558432527658666,1.651900486277718,1.6726801151446502,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,30,26,34,10
1,1,0:05:44.586161,48,47,100,100,100,125,25,0.3807407407407406,1.6720429587299392,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,21,33,40,4
1,1,0:05:44.586161,49,48,100,100,100,125,25,0.3807407407407406,1.672138670831952,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,41,38,18,2
1,1,0:05:44.586161,50,49,100,100,100,125,25,0.3807407407407406,1.672138670831952,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,23,37,31,9
1,1,0:05:44.586161,51,50,100,100,100,125,25,0.3807407407407406,1.672138670831952,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,39,29,21,11
1,1,0:05:44.586161,52,51,100,100,100,125,25,0.3762962962962962,1.6722923503310096,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,25,37,33,3
1,1,0:05:44.586161,53,52,100,100,100,125,25,0.3762962962962962,1.6722923503310096,1.6723404955699186,1.682061647476105,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,30,26,38,6
1,1,0:05:44.586161,54,53,100,100,100,125,25,0.37629629629629624,1.6820126128353154,1.6794604345630775,1.7053625221438087,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,28,29,34,8
1,1,0:05:44.586161,55,54,100,100,100,125,25,0.3837037037037036,1.6897449556696844,1.6869068721287508,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,25,25,39,11
1,1,0:05:44.586161,56,55,100,100,100,125,25,0.38518518518518513,1.689759743482828,1.6869068721287508,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,31,30,27,11
1,1,0:05:44.586161,57,56,100,100,100,125,25,0.3881481481481481,1.6901903340643272,1.6869068721287508,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,36,19,29,15
1,1,0:05:44.586161,58,57,100,100,100,125,25,0.3955555555555555,1.690715521241383,1.6869068721287508,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,27,29,35,8
1,1,0:05:44.586161,59,58,100,100,100,125,25,0.40148148148148144,1.6922914341954658,1.6889313346780752,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,3,35,32,22,8
1,1,0:05:44.586161,60,59,100,100,100,125,25,0.4044444444444444,1.6924423576384047,1.6889313346780752,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,2,31,32,28,7
1,1,0:05:44.586161,61,60,100,100,100,125,25,0.4088888888888888,1.6958651870336936,1.6939194949566696,1.7101017568053813,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,28,30,28,13
