model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.common.vocab_len,model.hparams.common.num_population,model.hparams.common.num_survivors,model.hparams.crosser.crossover_rate,model.hparams.mutator.0,model.hparams.mutator.1,model.hparams.mutator.2,model.hparams.mutator.3,model.hparams.mutator.4,model.hparams.recombiner.recombination_rate,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.TRANSP,mutsum.NONE
1,1,0:02:52.296504,49,48,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,18,15,25,19
1,1,0:02:52.296504,50,49,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,25,20,14,23
1,1,0:02:52.296504,51,50,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,15,23,16,27
1,1,0:02:52.296504,52,51,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,24,17,21,18
1,1,0:02:52.296504,53,52,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,18,20,21,23
1,1,0:02:52.296504,54,53,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,28,14,17,23,18
1,1,0:02:52.296504,55,54,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,21,17,23,14
1,1,0:02:52.296504,56,55,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,21,14,22,24
1,1,0:02:52.296504,57,56,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,22,21,16,22
1,1,0:02:52.296504,58,57,100,100,100,125,25,0.6503703703703704,1.681602583376044,1.6826501030845027,1.6839199016688373,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,16,21,20,21
1,1,0:02:52.296504,59,58,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,16,23,15,25
1,1,0:02:52.296504,60,59,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,27,14,29,15,15
1,1,0:02:52.296504,61,60,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,22,19,20,14
1,1,0:02:52.296504,62,61,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,21,23,18,22
1,1,0:02:52.296504,63,62,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,17,24,22,16
1,1,0:02:52.296504,64,63,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,18,26,19,17
1,1,0:02:52.296504,65,64,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,23,18,22,22
1,1,0:02:52.296504,66,65,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,28,14,28,12,18
1,1,0:02:52.296504,67,66,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,29,19,21,17
1,1,0:02:52.296504,68,67,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,20,22,25,18
1,1,0:02:52.296504,69,68,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,21,14,19,23
1,1,0:02:52.296504,70,69,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,18,23,22,18
1,1,0:02:52.296504,71,70,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,17,18,21,23,21
1,1,0:02:52.296504,72,71,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,19,24,18,25
1,1,0:02:52.296504,73,72,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,17,23,19,22
1,1,0:02:52.296504,74,73,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,14,21,24,15,26
1,1,0:02:52.296504,75,74,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,28,15,20,15,22
1,1,0:02:52.296504,76,75,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,26,23,21,15,15
1,1,0:02:52.296504,77,76,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,17,16,21,21,25
1,1,0:02:52.296504,78,77,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,11,27,20,20,22
1,1,0:02:52.296504,79,78,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,11,24,21,25,19
1,1,0:02:52.296504,80,79,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,21,17,20,20
1,1,0:02:52.296504,81,80,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,24,16,19,16
1,1,0:02:52.296504,82,81,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,26,19,19,15,21
1,1,0:02:52.296504,83,82,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,30,16,23,18,13
1,1,0:02:52.296504,84,83,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,24,20,23,18
1,1,0:02:52.296504,85,84,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,22,23,17,16
1,1,0:02:52.296504,86,85,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,26,24,15,16
1,1,0:02:52.296504,87,86,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,20,19,19,18
1,1,0:02:52.296504,88,87,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,17,20,17,26
1,1,0:02:52.296504,89,88,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,25,27,14,19
1,1,0:02:52.296504,90,89,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,19,16,18,23
