experiment,run.no,instance.ddist.type,instance.ddist.name,instance.ddist.transition_estimator,instance.ddist.emission_estimator,instance.evaluator.data_distribution,instance.evaluator.vocab_len,instance.evaluator.max_len,instance.evaluator.measure_mask,instance.evaluator.type,instance.no,iteration.case_origin,iteration.no,row.no,row.prob,row.tprob,row.eprob,row.sparsity,row.similarity,row.feasibility,row.delta,row.viability,row.pred_score,row.true_outcome,row.pred_outcome,row.event
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,true_cases,1,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.43864468864468864,0.7174667629461609,0.3191827767762926,0.999193012714386,2.474487241081528,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,sampled_cases,2,1,0.0,0.0,6.1276030826332744e-24,0.5302197802197802,0.6768167197924504,0.0,0.9991357326507568,2.2061722326629876,0.0003475717385299504,0,0,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 33.  1.  2.  3.  4.  5.  7.  8. 10. 11. 12.  6. 13. 25. 24. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,true_cases,3,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6172161172161172,0.8461326440605614,0.3191827767762926,0.3333333432674408,2.115864881320412,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,sampled_cases,4,1,0.0,0.0,6.1276030826332744e-24,0.6501831501831502,0.764244643848881,0.0,0.33339059352874756,1.7478183875607787,0.0003475717385299504,0,0,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 33.  1.  2.  3.  4.  5.  7.  8. 10. 11. 12.  6. 13. 25. 24. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,true_cases,5,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.5503663003663003,0.7688986317065338,0.3191827767762926,0.3333333432674408,1.9717810521165675,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,sampled_cases,6,1,0.0,0.0,6.1276030826332744e-24,0.5787545787545787,0.7063174459051202,0.0,0.33339059352874756,1.6184626181884465,0.0003475717385299504,0,0,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 33.  1.  2.  3.  4.  5.  7.  8. 10. 11. 12.  6. 13. 25. 24. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,true_cases,7,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.5228937728937728,0.7812338188540406,0.3191827767762926,0.9991796612739563,2.6224900297980622,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,sampled_cases,8,1,0.0,0.0,6.1276030826332744e-24,0.5851648351648351,0.7425376961479733,0.0,0.9991224408149719,2.3268249721277803,0.0003475717385299504,0,0,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 33.  1.  2.  3.  4.  5.  7.  8. 10. 11. 12.  6. 13. 25. 24. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,true_cases,9,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6309523809523809,0.8195614642842854,0.3191827767762926,0.3333333134651184,2.1030299354780775,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_DefaultEmissionProbFeatures,MarkovChainProbability,DefaultEmissionProbFeatures,486,35,27,1111,ImprovementMeasure,2,sampled_cases,10,1,0.0,0.0,6.1276030826332744e-24,0.608974358974359,0.7298528844880721,0.0,0.33339059352874756,1.6722178369911787,0.0003475717385299504,0,0,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 33.  1.  2.  3.  4.  5.  7.  8. 10. 11. 12.  6. 13. 25. 24. 14. 13. 14.]
