,Generator,Factual,Dimension,Property,Model,Value
266,RG-RGW-IM,4,Activity,Proximity,CF,4.794502016469768
267,RG-RGW-IM,4,Activity,Proximity,D4EL,4.69041575982343
268,RG-RGW-IM,4,Activity,Sparsity,CF,4.69041575982343
269,RG-RGW-IM,4,Activity,Sparsity,D4EL,4.69041575982343
270,RG-RGW-IM,4,Resource,Plausibility,CF,1.0
271,RG-RGW-IM,4,Resource,Plausibility,D4EL,0.0
272,RG-RGW-IM,4,Resource,Proximity,CF,21.74
273,RG-RGW-IM,4,Resource,Proximity,D4EL,13.0
274,RG-RGW-IM,4,Resource,Sparsity,CF,22.0
275,RG-RGW-IM,4,Resource,Sparsity,D4EL,18.0
276,RG-RGW-IM,5,Activity,Plausibility,CF,1.0
277,RG-RGW-IM,5,Activity,Plausibility,D4EL,0.0
278,RG-RGW-IM,5,Activity,Proximity,CF,4.731462546127472
279,RG-RGW-IM,5,Activity,Proximity,D4EL,4.358898943540674
280,RG-RGW-IM,5,Activity,Sparsity,CF,4.358898943540674
281,RG-RGW-IM,5,Activity,Sparsity,D4EL,4.242640687119285
282,RG-RGW-IM,5,Resource,Plausibility,CF,1.0
283,RG-RGW-IM,5,Resource,Plausibility,D4EL,1.0
284,RG-RGW-IM,5,Resource,Proximity,CF,20.58
285,RG-RGW-IM,5,Resource,Proximity,D4EL,10.0
286,RG-RGW-IM,5,Resource,Sparsity,CF,19.0
287,RG-RGW-IM,5,Resource,Sparsity,D4EL,16.0
288,CBG-CBGW-IM,0,Activity,Diversity,CF,0.972
289,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Activity,Diversity,CF,0.0
290,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Diversity,CF,0.0
291,RG-RGW-IM,0,Activity,Diversity,CF,0.98
292,CBG-CBGW-IM,1,Activity,Diversity,CF,0.976
293,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Diversity,CF,0.31999999999999995
294,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Diversity,CF,0.0
295,RG-RGW-IM,1,Activity,Diversity,CF,0.98
296,CBG-CBGW-IM,2,Activity,Diversity,CF,0.9767999999999999
297,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Diversity,CF,0.11280000000000005
298,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Diversity,CF,0.0
299,RG-RGW-IM,2,Activity,Diversity,CF,0.98
300,CBG-CBGW-IM,3,Activity,Diversity,CF,0.9728
301,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Diversity,CF,0.03920000000000002
302,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Diversity,CF,0.0
303,RG-RGW-IM,3,Activity,Diversity,CF,0.98
304,CBG-CBGW-IM,4,Activity,Diversity,CF,0.9767999999999999
305,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Diversity,CF,0.0
306,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Diversity,CF,0.0
307,RG-RGW-IM,4,Activity,Diversity,CF,0.98
308,CBG-CBGW-IM,5,Activity,Diversity,CF,0.9784
309,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Diversity,CF,0.0
310,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Diversity,CF,0.0
311,RG-RGW-IM,5,Activity,Diversity,CF,0.98
312,CBG-CBGW-IM,0,Activity,Diversity,D4EL,0.0
313,ES-EGW-CBI-ES-UC3-SBM-RR-IM,0,Activity,Diversity,D4EL,0.0
314,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Diversity,D4EL,0.0
315,RG-RGW-IM,0,Activity,Diversity,D4EL,0.0
316,CBG-CBGW-IM,1,Activity,Diversity,D4EL,0.0
317,ES-EGW-CBI-ES-UC3-SBM-RR-IM,1,Activity,Diversity,D4EL,0.0
318,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Diversity,D4EL,0.0
319,RG-RGW-IM,1,Activity,Diversity,D4EL,0.0
320,CBG-CBGW-IM,2,Activity,Diversity,D4EL,0.0
321,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Activity,Diversity,D4EL,0.0
322,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Diversity,D4EL,0.0
323,RG-RGW-IM,2,Activity,Diversity,D4EL,0.0
